Лев; Млекопитающие; Суша; 4; Шерсть; Живорождение; Большой
Синий_кит; Млекопитающие; Вода; 0; Голая_кожа (редкая шерсть); Живорождение; Большой
Кошка; Млекопитающие; Суша; 4; Шерсть; Живорождение; Маленький
Собака; Млекопитающие; Суша; 4; Шерсть; Живорождение; Большой
Пингвин; Птицы; Вода Суша; 2; Перья; Яйца; Большой
Орёл; Птицы; Суша Воздух; 2; Перья; Яйца; Большой
Крокодил; Рептилии; Вода Суша; 4; Чешуя сухая; Яйца; Большой
Лягушка; Амфибии; Вода Суша; 4; Кожа_голая; Яйца (икра); Маленький
Дождевой_червь; Беспозвоночные (Кольчатые черви); Суша (почва); 0; Голая_кожа; Яйца (кокон); Маленький
Медуза; Беспозвоночные (Кишечнополостные); Вода; 0; Голая_кожа; Почкование; Маленький
Паук; Беспозвоночные (Паукообразные); Суша; 8; Хитин; Яйца; Маленький
Муха; Беспозвоночные (Насекомые); Суша Воздух; 6; Хитин; Яйца (личинки); Маленький
Шмель; Беспозвоночные (Насекомые); Суша Воздух; 6; Хитин; Яйца (личинки); Маленький
Осьминог; Беспозвоночные (Моллюски); Вода; 8 (щупалец); Голая_кожа; Яйца; Большой (гигантский)
Уж; Рептилии; Вода Суша; 0; Чешуя сухая; Яйца; Большой
Корова; Млекопитающие; Суша; 4; Шерсть; Живорождение; Большой
Лошадь; Млекопитающие; Суша; 4; Шерсть; Живорождение; Большой
Мышь; Млекопитающие; Суша; 4; Шерсть; Живорождение; Маленький
Летучая_мышь; Млекопитающие; Суша Воздух; 2; Шерсть; Живорождение; Маленький
Черепаха; Рептилии; Суша; 4; Панцирь и чешуя; Яйца; Маленький (средняя)
